zipcode,DATE_INSTALLED,num_spraygrounds,year
19103,2006-01,2,2006
19103,2017-01,3,2017
19104,2006-01,3,2006
19111,2006-01,2,2006
19114,2012-01,1,2012
19114,2019-01,2,2019
19115,2014-01,1,2014
19115,2020-01,3,2020
19116,2006-01,1,2006
19116,2020-07,2,2020
19119,2006-01,2,2006
19120,2006-01,2,2006
19121,2006-01,2,2006
19121,2014-01,3,2014
19122,2006-01,2,2006
19122,2016-01,3,2016
19123,2006-01,2,2006
19124,2006-01,3,2006
19124,2009-01,4,2009
19124,2017-01,5,2017
19124,2020-04,6,2020
19125,2006-01,2,2006
19125,2020-07,3,2020
19126,2006-01,1,2006
19127,2006-01,1,2006
19128,2006-01,2,2006
19129,2013-01,1,2013
19130,2011-01,1,2011
19130,2012-01,2,2012
19130,2018-01,3,2018
19131,2006-01,4,2006
19132,2016-01,1,2016
19133,2006-01,1,2006
19133,2020-01,2,2020
19134,2006-01,2,2006
19134,2014-01,3,2014
19135,2006-01,3,2006
19135,2008-01,4,2008
19136,2006-01,1,2006
19136,2012-01,2,2012
19138,2006-01,1,2006
19139,2006-01,3,2006
19139,2014-01,4,2014
19140,2006-01,3,2006
19140,2019-01,4,2019
19142,2006-01,1,2006
19142,2015-01,2,2015
19143,2006-01,2,2006
19144,2006-01,1,2006
19144,2016-01,2,2016
19145,2006-01,2,2006
19145,2018-01,3,2018
19145,2018-11,4,2018
19147,2006-01,4,2006
19147,2012-01,5,2012
19147,2020-07,6,2020
19147,2020-08,7,2020
19148,2006-01,1,2006
19149,2006-01,1,2006
19150,2006-01,1,2006
19150,2018-01,2,2018
19151,2006-01,1,2006
19151,2015-01,2,2015
19152,2006-01,1,2006
19154,2006-01,2,2006
19154,2010-01,3,2010
19154,2012-01,4,2012
19154,2018-01,5,2018
