census_tract,number_of_properties,date_added
151,22,2016-08-14 02:10:20+00
850,1,2016-08-14 03:20:09+00
106,5,2016-08-14 02:33:59+00
135,19,2016-08-14 02:17:06+00
249,35,2016-08-14 02:07:45+00
227,1,2016-08-14 04:22:55+00
63,37,2016-08-14 02:04:39+00
218,5,2016-08-14 02:09:10+00
103,14,2016-08-14 02:03:20+00
169,44,2016-08-14 02:01:54+00
261,32,2016-08-14 02:09:07+00
,317,2016-08-14 02:00:50+00
301,47,2016-08-14 02:06:48+00
9,3,2016-08-14 02:22:18+00
224,2,2016-08-14 02:31:32+00
27,40,2016-08-14 02:03:51+00
84,26,2016-08-14 02:02:39+00
254,45,2016-08-14 02:01:45+00
299,29,2016-08-14 02:05:27+00
770,3,2016-08-14 02:19:29+00
23,10,2016-08-14 02:05:18+00
270,22,2016-08-14 02:01:22+00
316,50,2016-08-14 02:02:48+00
230,6,2016-08-14 03:31:58+00
630,4,2016-08-14 02:08:42+00
159,22,2016-08-14 02:07:31+00
220,19,2016-08-14 02:10:56+00
168,18,2016-08-14 02:07:28+00
274,99,2016-08-14 02:03:30+00
830,5,2016-08-14 02:00:46+00
256,11,2016-08-14 02:33:39+00
320,67,2016-08-14 02:02:03+00
263,121,2016-08-14 02:02:07+00
8,14,2016-08-14 02:17:39+00
101,62,2016-08-14 02:01:16+00
83,62,2016-08-14 02:02:01+00
14,20,2016-08-14 02:11:17+00
710,2,2016-08-14 04:17:18+00
341,23,2016-08-14 02:03:01+00
980,1,2016-08-14 03:12:51+00
326,67,2016-08-14 02:01:14+00
118,75,2016-08-14 02:04:41+00
219,11,2016-08-14 02:05:26+00
910,6,2016-08-14 02:41:30+00
247,28,2016-08-14 02:02:17+00
295,7,2016-08-14 03:17:37+00
190,72,2016-08-14 02:03:04+00
0,1,2016-08-14 03:13:13+00
65,42,2016-08-14 02:01:36+00
241,4,2016-08-14 02:30:15+00
337,44,2016-08-14 02:13:55+00
10,15,2016-08-14 02:02:10+00
292,44,2016-08-14 02:05:29+00
78,14,2016-08-14 02:15:05+00
51,1,2016-08-14 04:59:28+00
187,9,2016-08-14 02:15:27+00
209,11,2016-08-14 02:34:42+00
352,22,2016-08-14 02:01:43+00
210,22,2016-08-14 02:05:44+00
162,2,2016-08-14 04:01:18+00
323,45,2016-08-14 02:11:07+00
360,21,2016-08-14 02:31:40+00
15,17,2016-08-14 02:07:08+00
610,1,2016-08-14 02:41:17+00
711,3,2016-08-14 03:37:30+00
107,12,2016-08-14 02:02:29+00
124,2,2016-08-14 03:22:35+00
22,12,2016-08-14 02:08:47+00
358,29,2016-08-14 02:03:52+00
730,2,2016-08-14 02:09:50+00
7,2,2016-08-14 02:45:07+00
185,2,2016-08-14 03:20:01+00
279,56,2016-08-14 02:11:01+00
258,14,2016-08-14 02:04:09+00
234,3,2016-08-14 03:02:17+00
120,12,2016-08-14 02:01:29+00
17,10,2016-08-14 02:14:33+00
322,3,2016-08-14 02:12:58+00
356,33,2016-08-14 02:02:31+00
184,14,2016-08-14 02:08:19+00
129,7,2016-08-14 02:32:39+00
430,5,2016-08-14 02:13:50+00
229,2,2016-08-14 03:10:13+00
28,28,2016-08-14 02:26:54+00
350,4,2016-08-14 02:07:01+00
520,1,2016-08-14 04:12:12+00
60,86,2016-08-14 02:05:32+00
41,74,2016-08-14 02:03:03+00
305,145,2016-08-14 02:04:44+00
273,50,2016-08-14 02:02:06+00
333,12,2016-08-14 02:10:14+00
157,13,2016-08-14 02:10:31+00
183,31,2016-08-14 02:31:27+00
170,7,2016-08-14 03:06:58+00
150,2,2016-08-14 02:14:03+00
48,1,2016-08-14 04:55:33+00
12,13,2016-08-14 02:14:32+00
317,55,2016-08-14 02:06:37+00
293,18,2016-08-14 02:02:32+00
70,27,2016-08-14 02:02:51+00
312,49,2016-08-14 02:03:27+00
195,31,2016-08-14 02:00:53+00
158,42,2016-08-14 02:08:12+00
121,12,2016-08-14 02:33:06+00
56,3,2016-08-14 02:22:52+00
321,27,2016-08-14 02:00:37+00
325,47,2016-08-14 02:02:05+00
332,22,2016-08-14 02:08:07+00
200,2,2016-08-14 03:07:28+00
297,5,2016-08-14 02:01:48+00
950,1,2016-08-14 03:19:46+00
307,27,2016-08-14 02:07:48+00
269,8,2016-08-14 02:25:22+00
540,5,2016-08-14 02:42:17+00
206,2,2016-08-14 02:07:54+00
38,30,2016-08-14 02:04:01+00
286,55,2016-08-14 02:02:49+00
512,1,2016-08-14 03:03:35+00
911,2,2016-08-14 02:25:02+00
262,59,2016-08-14 02:00:57+00
290,57,2016-08-14 02:06:36+00
560,3,2016-08-14 02:54:48+00
470,1,2016-08-14 02:09:30+00
138,11,2016-08-14 02:18:08+00
370,1,2016-08-14 04:50:34+00
365,49,2016-08-14 02:03:48+00
160,77,2016-08-14 02:05:24+00
260,44,2016-08-14 02:03:14+00
280,12,2016-08-14 02:24:27+00
81,61,2016-08-14 02:02:43+00
189,8,2016-08-14 02:20:42+00
133,4,2016-08-14 03:03:49+00
91,8,2016-08-14 03:02:54+00
192,43,2016-08-14 02:06:03+00
25,16,2016-08-14 02:21:11+00
188,55,2016-08-14 02:01:53+00
276,27,2016-08-14 02:11:33+00
43,7,2016-08-14 02:00:50+00
311,86,2016-08-14 02:04:20+00
147,6,2016-08-14 02:39:07+00
196,8,2016-08-14 02:07:03+00
245,24,2016-08-14 02:01:47+00
90,4,2016-08-14 02:59:21+00
252,74,2016-08-14 02:00:42+00
334,18,2016-08-14 02:11:35+00
179,46,2016-08-14 02:01:00+00
272,43,2016-08-14 02:04:16+00
291,33,2016-08-14 02:02:30+00
115,71,2016-08-14 02:01:01+00
114,63,2016-08-14 02:04:14+00
98,120,2016-08-14 02:01:28+00
21,19,2016-08-14 02:03:19+00
228,6,2016-08-14 02:26:01+00
338,33,2016-08-14 02:15:55+00
204,23,2016-08-14 02:06:22+00
318,57,2016-08-14 02:00:55+00
87,9,2016-08-14 02:18:46+00
73,16,2016-08-14 02:10:05+00
380,1,2016-08-14 03:53:34+00
197,33,2016-08-14 02:01:26+00
44,9,2016-08-14 02:18:41+00
134,15,2016-08-14 02:10:50+00
336,27,2016-08-14 02:00:59+00
330,62,2016-08-14 02:06:12+00
253,36,2016-08-14 02:35:40+00
142,15,2016-08-14 02:14:22+00
191,91,2016-08-14 02:03:33+00
362,95,2016-08-14 02:02:38+00
239,3,2016-08-14 03:02:11+00
244,27,2016-08-14 02:15:59+00
137,26,2016-08-14 02:01:33+00
550,2,2016-08-14 02:44:35+00
33,25,2016-08-14 02:30:03+00
342,13,2016-08-14 02:01:59+00
248,26,2016-08-14 02:08:49+00
242,35,2016-08-14 02:00:44+00
620,3,2016-08-14 03:01:38+00
357,30,2016-08-14 02:05:19+00
30,46,2016-08-14 02:00:58+00
315,77,2016-08-14 02:00:41+00
236,16,2016-08-14 02:04:26+00
144,16,2016-08-14 02:35:10+00
92,11,2016-08-14 02:12:47+00
310,62,2016-08-14 02:25:35+00
203,15,2016-08-14 02:13:22+00
920,11,2016-08-14 02:12:50+00
820,3,2016-08-14 02:51:50+00
119,41,2016-08-14 02:02:25+00
42,82,2016-08-14 02:02:02+00
359,26,2016-08-14 02:18:14+00
77,1,2016-08-14 04:01:05+00
243,17,2016-08-14 02:01:03+00
29,10,2016-08-14 02:05:39+00
140,13,2016-08-14 02:14:01+00
95,17,2016-08-14 02:26:55+00
940,4,2016-08-14 02:52:11+00
194,1,2016-08-14 04:53:19+00
172,34,2016-08-14 02:03:28+00
110,12,2016-08-14 02:03:53+00
125,3,2016-08-14 02:01:05+00
97,1,2016-08-14 05:02:04+00
750,2,2016-08-14 03:12:43+00
284,21,2016-08-14 02:01:19+00
171,36,2016-08-14 02:02:14+00
145,6,2016-08-14 02:35:55+00
353,46,2016-08-14 02:04:11+00
37,89,2016-08-14 02:01:35+00
148,2,2016-08-14 02:47:12+00
278,38,2016-08-14 02:14:18+00
222,7,2016-08-14 03:01:17+00
982,1,2016-08-14 04:53:40+00
217,18,2016-08-14 02:15:08+00
611,1,2016-08-14 04:06:08+00
570,2,2016-08-14 02:56:34+00
82,61,2016-08-14 02:03:56+00
6,2,2016-08-14 02:02:35+00
176,9,2016-08-14 02:22:54+00
275,63,2016-08-14 02:00:12+00
96,29,2016-08-14 02:03:25+00
346,6,2016-08-14 02:01:15+00
651,1,2016-08-14 04:25:03+00
361,24,2016-08-14 02:09:42+00
117,9,2016-08-14 02:04:04+00
268,38,2016-08-14 02:10:47+00
152,14,2016-08-14 02:12:26+00
155,6,2016-08-14 03:13:03+00
306,48,2016-08-14 02:09:37+00
340,20,2016-08-14 02:26:28+00
347,53,2016-08-14 02:11:40+00
164,6,2016-08-14 02:06:20+00
2,6,2016-08-14 02:11:47+00
580,2,2016-08-14 03:47:31+00
700,1,2016-08-14 02:59:08+00
85,37,2016-08-14 02:03:50+00
104,8,2016-08-14 02:35:45+00
11,8,2016-08-14 02:12:17+00
126,3,2016-08-14 02:43:55+00
165,6,2016-08-14 02:43:34+00
79,23,2016-08-14 02:14:53+00
266,94,2016-08-14 02:00:56+00
344,31,2016-08-14 02:01:38+00
277,37,2016-08-14 02:08:13+00
721,1,2016-08-14 04:44:41+00
3,3,2016-08-14 03:37:29+00
351,18,2016-08-14 02:01:55+00
339,13,2016-08-14 02:11:41+00
212,10,2016-08-14 02:11:29+00
259,64,2016-08-14 02:02:41+00
61,57,2016-08-14 02:02:53+00
132,6,2016-08-14 03:02:28+00
177,44,2016-08-14 02:10:07+00
932,1,2016-08-14 04:12:30+00
178,32,2016-08-14 02:16:01+00
131,2,2016-08-14 03:47:42+00
822,1,2016-08-14 04:55:39+00
233,23,2016-08-14 02:01:42+00
198,30,2016-08-14 02:05:55+00
93,29,2016-08-14 02:05:40+00
300,47,2016-08-14 02:04:27+00
231,2,2016-08-14 03:28:44+00
285,17,2016-08-14 02:15:10+00
156,6,2016-08-14 02:29:04+00
94,25,2016-08-14 02:34:20+00
298,31,2016-08-14 02:05:50+00
163,4,2016-08-14 02:51:37+00
20,17,2016-08-14 02:05:03+00
111,18,2016-08-14 02:03:44+00
740,1,2016-08-14 02:09:33+00
331,51,2016-08-14 02:02:04+00
296,9,2016-08-14 03:03:37+00
161,28,2016-08-14 02:05:00+00
108,12,2016-08-14 02:04:31+00
153,12,2016-08-14 02:10:41+00
255,24,2016-08-14 02:04:23+00
4,4,2016-08-14 02:58:17+00
16,10,2016-08-14 02:04:13+00
122,3,2016-08-14 02:22:03+00
308,34,2016-08-14 02:08:03+00
139,8,2016-08-14 02:00:47+00
355,30,2016-08-14 02:03:15+00
288,35,2016-08-14 02:22:50+00
930,7,2016-08-14 02:20:26+00
870,1,2016-08-14 04:05:48+00
13,29,2016-08-14 02:09:20+00
67,103,2016-08-14 02:01:04+00
154,2,2016-08-14 02:05:23+00
810,2,2016-08-14 02:40:25+00
313,47,2016-08-14 02:07:42+00
71,53,2016-08-14 02:00:52+00
64,55,2016-08-14 02:11:30+00
232,4,2016-08-14 02:33:54+00
130,12,2016-08-14 03:00:21+00
113,27,2016-08-14 02:07:30+00
513,1,2016-08-14 04:03:41+00
221,3,2016-08-14 02:53:02+00
215,8,2016-08-14 02:09:11+00
105,5,2016-08-14 03:20:57+00
186,25,2016-08-14 02:10:48+00
640,7,2016-08-14 02:56:33+00
32,27,2016-08-14 02:01:25+00
66,16,2016-08-14 02:06:29+00
180,42,2016-08-14 02:18:21+00
34,1,2016-08-14 02:04:57+00
287,13,2016-08-14 02:05:33+00
840,6,2016-08-14 03:01:58+00
100,64,2016-08-14 02:05:06+00
345,30,2016-08-14 02:05:05+00
257,9,2016-08-14 02:56:40+00
319,42,2016-08-14 02:03:13+00
18,12,2016-08-14 02:37:09+00
363,88,2016-08-14 02:01:21+00
410,7,2016-08-14 02:28:49+00
69,16,2016-08-14 02:01:58+00
335,21,2016-08-14 02:09:19+00
62,85,2016-08-14 02:05:36+00
166,1,2016-08-14 03:02:09+00
173,13,2016-08-14 02:05:10+00
289,93,2016-08-14 02:01:02+00
530,1,2016-08-14 03:48:53+00
235,3,2016-08-14 02:01:51+00
283,29,2016-08-14 02:03:40+00
240,19,2016-08-14 02:15:56+00
271,28,2016-08-14 02:04:34+00
102,23,2016-08-14 02:00:49+00
47,13,2016-08-14 02:26:43+00
24,25,2016-08-14 02:18:03+00
511,1,2016-08-14 03:20:22+00
281,40,2016-08-14 02:04:49+00
760,2,2016-08-14 04:03:29+00
302,87,2016-08-14 02:09:51+00
1,14,2016-08-14 02:20:11+00
207,22,2016-08-14 02:02:21+00
201,34,2016-08-14 02:04:21+00
246,13,2016-08-14 02:32:44+00
149,23,2016-08-14 02:17:44+00
238,31,2016-08-14 02:04:48+00
208,2,2016-08-14 03:07:29+00
36,44,2016-08-14 02:02:37+00
294,19,2016-08-14 02:07:56+00
309,28,2016-08-14 02:23:05+00
199,17,2016-08-14 02:09:04+00
143,4,2016-08-14 03:04:07+00
510,1,2016-08-14 02:41:22+00
327,1,2016-08-14 04:41:48+00
214,19,2016-08-14 02:13:24+00
265,50,2016-08-14 02:07:10+00
146,16,2016-08-14 02:30:31+00
860,3,2016-08-14 02:49:33+00
251,25,2016-08-14 02:05:04+00
349,32,2016-08-14 02:04:35+00
720,4,2016-08-14 02:11:23+00
237,26,2016-08-14 02:18:36+00
216,4,2016-08-14 03:47:54+00
99,5,2016-08-14 02:02:52+00
31,24,2016-08-14 02:10:00+00
282,28,2016-08-14 02:05:11+00
348,68,2016-08-14 02:01:46+00
213,22,2016-08-14 02:02:23+00
211,22,2016-08-14 02:11:22+00
116,20,2016-08-14 02:25:46+00
127,1,2016-08-14 04:27:10+00
40,75,2016-08-14 02:02:00+00
175,6,2016-08-14 02:05:38+00
167,23,2016-08-14 02:07:52+00
80,40,2016-08-14 02:03:07+00
72,35,2016-08-14 02:01:57+00
19,20,2016-08-14 02:01:23+00
74,23,2016-08-14 02:02:09+00
112,49,2016-08-14 02:04:58+00
86,25,2016-08-14 02:03:43+00
314,63,2016-08-14 02:06:14+00
304,5,2016-08-14 02:26:21+00
205,16,2016-08-14 02:26:44+00
141,8,2016-08-14 02:52:01+00
303,84,2016-08-14 02:01:31+00
329,30,2016-08-14 02:03:36+00
202,20,2016-08-14 02:09:06+00
45,17,2016-08-14 02:40:18+00
420,2,2016-08-14 02:11:08+00
109,8,2016-08-14 02:37:31+00
35,1,2016-08-14 02:38:34+00
460,2,2016-08-14 02:56:10+00
722,1,2016-08-14 02:50:32+00
136,28,2016-08-14 02:14:41+00
267,80,2016-08-14 02:03:12+00
182,3,2016-08-14 03:48:59+00
250,5,2016-08-14 02:18:50+00
55,70,2016-08-14 02:02:26+00
264,55,2016-08-14 02:04:12+00
174,7,2016-08-14 02:09:53+00
54,11,2016-08-14 02:03:45+00
39,77,2016-08-14 02:04:53+00
